publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
programming and customizing the avr microcontroller	9780071346665								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/6217.007134666X	Gadre	/ebooks/ebooks2/pda/2011-12-01/1/6217.007134666X		fulltext		McGraw-Hill	monograph	2001							P
promoting conflict or peace through identity		9780754672449							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12431.9780754689775		/ebooks/ebooks2/pda/2011-12-01/1/12431.9780754689775		fulltext		Ashgate	monograph	2008				Slocum-Bradley			P
reliability of computer systems and networks: fault tolerance, analysis, and design		9780471293422							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13567.9780471464068	Shooman	/ebooks/ebooks2/pda/2011-12-01/1/13567.9780471464068		fulltext		Wiley	monograph	2002							P
social media marketing: an hour a day		9780470344026							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12668.9780470439319	Evans	/ebooks/ebooks2/pda/2011-12-01/1/12668.9780470439319		fulltext		Wiley	monograph	2008							P
sortino framework for portfolio construction: focusing on desired target return to optimize upside potential relative to downside risk		9780123749925							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14549.9780123749925	Sortino	/ebooks/ebooks2/pda/2011-12-01/1/14549.9780123749925		fulltext		Elsevier	monograph	2009							P
spaces of work: global capitalism and the geographies of labour	9780761972167								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8528.0761972161	Castree	/ebooks/ebooks2/pda/2011-12-01/1/8528.0761972161		fulltext		SAGE	monograph	2004							P
statistics and data with r: an applied approach through examples		9780470758052							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12824.9780470721889	Cohen	/ebooks/ebooks2/pda/2011-12-01/1/12824.9780470721889		fulltext		Wiley	monograph	2008							P
strategies for protecting national critical infrastructure assets: a focus on problem-solving		9780471799269							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470228364	Sullivant	/ebooks/ebooks2/pda/2011-12-01/1/13557.9780470228364		fulltext		Wiley-Interscience	monograph	2007							P
taking shape: a new contract between architecture and nature	9780750649483								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/10651.9780750649483	Hagan	/ebooks/ebooks2/pda/2011-12-01/1/10651.9780750649483		fulltext		Architectural Press	monograph	2001							P
territory, authority, rights: from medieval to global assemblages		9780691095387							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13826.9781400828593	Sassen	/ebooks/ebooks2/pda/2011-12-01/1/13826.9781400828593		fulltext		Princeton University Press	monograph	2006			Updated ed.				P
